sku,current_name,defect,suggested_name,type_position,color_in_name,flag_notes
C111214120701,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214120702,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214120703,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214120704,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214120705,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121101,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121102,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121103,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121104,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121105,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121401,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121402,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121403,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121404,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
C111214121405,CHOOSE CARBON T SHIRT,space instead of hyphen (T SHIRT),CHOOSE CARBON T-SHIRT,END,,no color in name; type at END (matches 'XXX T-SHIRT' convention)
210000003853,T SHIRT A BLACK,space instead of hyphen (T SHIRT),T-SHIRT A BLACK,FRONT,BLACK,
210000003855,T SHIRT A BLACK,space instead of hyphen (T SHIRT),T-SHIRT A BLACK,FRONT,BLACK,
210000003858,T SHIRT A BLACK,space instead of hyphen (T SHIRT),T-SHIRT A BLACK,FRONT,BLACK,
210000003860,T SHIRT A BLACK,space instead of hyphen (T SHIRT),T-SHIRT A BLACK,FRONT,BLACK,
210000003862,T SHIRT A LILAC,space instead of hyphen (T SHIRT),T-SHIRT A LILAC,FRONT,LILAC,
210000003865,T SHIRT A LILAC,space instead of hyphen (T SHIRT),T-SHIRT A LILAC,FRONT,LILAC,
